"PC1"	"PC2"	"PC3"	"PC4"	"PC5"
"Pde6a"	0.0259678459504084	0.000603588695639422	-0.000167946743149508	0.00875624653111166	-0.0011398995275747
"B4galnt4"	0.0259671594452458	0.000504104025579885	-0.00425058641674336	-0.00153279205391683	0.00106492410783155
"Gpd1"	0.0259592341021316	-0.00407638119017055	-0.00109641963758547	-0.000897854922224701	7.00443146141225e-05
"Dhtkd1"	0.0259587613843673	-0.00346286769765979	0.00256891568248159	-0.000110786298392469	0.00129037963627984
"Coq10a"	0.0259535876147171	-0.00350463984953073	0.00232240922589125	0.00251910886341126	0.000265077371793677
"Cox17"	0.0259532750877129	0.00347407711455775	-0.000317462268783719	-0.00543654497749565	-1.67584937833922e-05
"Galnt10"	0.0259519232375249	-0.00354017236097036	-0.00189722524657148	0.00367661345763068	-0.0016510140590739
"Cel"	0.0259493882150827	-0.00167296773121881	-0.0034619814912436	0.00500261565488904	-0.00219478776933488
"Grin2c"	0.0259491175808225	0.000557129956756674	-0.00432164142338208	-0.0029699755413982	0.000454401740106772
"Adipoq"	0.0259441287199817	0.000470991437963243	0.00326141938364594	-0.00673075950069998	-0.00181107240600197
"Srxn1"	0.0259408964321618	0.0018407904351617	0.00180053625656809	0.00794315818581459	0.000406895644994604
"Qdpr"	0.0259390193420771	-0.00290192876540926	-0.00171617252310686	-0.00647661460261	-0.00192451039616985
"Atp5c1"	0.0259381873488181	0.000672551122535117	0.00265409507873153	-0.00789042129027468	-0.00502152313578909
"Hnf4a"	0.0259293495916728	0.00160052281168805	0.00390213589732589	0.00478605070555355	0.0024715387798327
"Acadl"	0.0259206723547364	0.00386968369104672	-0.00224564320959427	0.00349559858277448	0.000178085405457077
"Nt5dc1"	0.025918511178655	0.00099065607694003	-0.000991906876898542	0.00975513330765932	0.00295231780402456
"Cacng3"	0.0259146813891477	0.00401175648323056	-0.000921944881704007	0.00525110544487729	0.00195122763453418
"Sult6b1"	0.0259109197729114	0.00215506867814628	0.00206043585692207	0.00827467161511909	0.0008315805600624
"Pofut2"	0.0259099104401079	0.00455513754475506	-0.000774200606220048	0.00307732424099512	-0.00235493196066413
"Dpep1"	0.0259070813571677	0.00231863261046143	-0.00447505828129325	-0.00112741444974534	0.00100077197781111
"Cyp4f40"	0.0259035485021102	0.00147187261165931	-0.00490179393088338	0.00113810468431674	0.00213325547085662
"Cacna2d4"	0.0258977234637847	0.00443076676133592	0.00225412252575927	0.00149151325011204	0.000865080764003969
"Atp5g3"	0.0258879798015704	-0.00315859851724436	0.00169472350740723	-0.00782414006561081	-0.00375163021804652
"Aspdh"	0.0258879632967416	0.00469865221920228	0.000676273186705486	0.00389267624595464	-0.000744494090962891
"Orai2"	0.0258801896011668	0.00233273900960779	-0.00427531555226384	0.00469423366686685	-0.000766110426247725
"Slc35c2"	0.0258743874103789	-0.00300165461237399	-0.00399081763597188	0.00427269121024843	-0.00122323703924957
"Cyp4f14"	0.0258677402838276	0.00116359047025168	-0.00413345479569115	-0.00723519128431044	-0.000807649178201044
"Chsy1"	0.025866026637711	-0.00425819776295251	0.00334334365487775	9.72249214770863e-05	-0.00198113481233584
"Gpd2"	0.0258606718106731	-0.00368046197242689	-0.00353231377143275	0.00431429990185861	0.000518696202163558
"Heph"	0.0258576769055065	-0.0039690980942808	-0.00295756915202145	-0.00504476880101757	-0.00168512712999413
"Slc2a10"	0.025857653034351	0.000320987092294018	0.00452063153479095	0.00702497709716261	-0.000445498950831828
"Dguok"	0.0258549139354766	-0.00185001440355964	0.00171576625007043	0.0104047547554745	-0.00181882271169074
"Mif"	0.0258455757405438	0.000602613609722029	-0.00574608896114694	0.00137318423008443	-0.00172678278349087
"Kctd13"	0.0258398329914692	-0.00466907084272284	-0.00186656978001803	0.0053353413639201	0.000701308559183457
"Ivd"	0.02583006837201	0.00383199452149355	-0.00435051698853254	-0.00145172020429195	-0.000924614615514132
"Gad1"	0.0258295201755227	-0.00204030214395898	-0.00460407670180308	0.00646027578419212	0.000196722368821441
"Polr2i"	0.0258255731495302	0.00425265600005945	0.0022427347405914	-0.00682280672165458	-0.00127402905186786
"Alg13"	0.0258160733298679	-0.00479828177029645	-0.00334473996802494	0.0016829530463896	-0.00133759077942666
"Gpd1l"	0.025815873597379	0.000633478996046495	0.00607808771996211	0.000731348032586975	-0.00112330282569811
"B4galnt1"	0.0258119700909147	0.00491545135513101	-0.0030630845124825	0.00267792353625521	-0.00195583490116068
"Slc35c1"	0.025807681981161	0.00434360211972416	-0.00328649774212945	0.00529275463013683	-0.000376802660656892
"Gnpda1"	0.0258031818954843	-0.00143207377261858	-0.00502413099251903	0.00693807232006683	0.000508135519001162
"Abcd1"	0.02580132208429	0.00474552563636381	0.00327077696419665	0.00383979407466562	0.000533812367111423
"Abcb10"	0.0257986691397926	0.00497458677447563	-0.000756257078400066	-0.00692636292895304	-0.0043132905935203
"Mical1"	0.0257986455723656	-0.00497546441431353	0.00333773891373983	0.00197405503374663	-0.00474132262179497
"Ckb"	0.0257978267883579	0.00134478950609096	0.00428393843110507	-0.00898401080094867	-0.00149335294456744
"Slc16a2"	0.0257948347350471	0.00140574645217815	0.00517383504881582	-0.00681053369616034	-0.00317281893755893
"Kcnk7"	0.0257945419805494	0.000764160330774184	-0.00204541443891593	0.012129454072159	-0.00102927117150772
"Dus1l"	0.0257919673137269	-0.00555011979444798	0.000731586040037288	-0.00484236988024119	-0.000191188784269813
"Nt5dc3"	0.025785557659758	0.00575496824750569	-0.000803187294860184	0.00393942836277085	-0.000987454939676461
"Slc38a2"	0.0257759222671809	0.00403995027674982	0.00397949646206874	-0.0059204625189528	-0.00208732181990288
"Lhpp"	0.0257703194050086	-0.000262201924359955	-0.00406155149333162	-0.0105147023651514	-0.000498751252330378
"Uprt"	0.0257674023688928	-0.000394406935674944	0.00637188961062355	0.00334322405089885	0.00132651024873023
"Gbgt1"	0.0257658296800883	0.00178207447830592	0.00585867825507261	0.00491216876088143	0.00200003652444184
"Acyp1"	0.025758200082907	-0.00118379895312543	-0.00628005213519895	0.00386438354293203	-0.00291100901776486
"Glra3"	0.0257555431950343	0.00119092142685154	-0.00394086428043448	0.0107637979146335	0.000828446499999362
"Aldoa"	0.0257437872694817	-0.00573699051594895	-0.000550136433644079	0.00626172524657783	-0.000636781995999538
"Nat10"	0.0257430960520153	-0.00417985650213112	0.00477300829505158	-0.00418433776701072	-0.00889741680372427
"Gnptg"	0.0257402973244937	-0.00363353412711649	0.00552435008616456	0.00254780440163338	-0.000215625770689125
"Clic1"	0.0257364912916225	-0.00436851888653109	-0.00099801878078253	0.0102074959943956	0.000207354863516914
"Sfpq"	0.0257339721213482	0.00463372131213806	-0.00345821542993111	-0.00697901774551369	0.00583610467556436
"Msra"	0.0257333008231933	-0.000552638526330145	-0.00453324810257009	0.0105562760247351	-0.00163998250527355
"Slc22a19"	0.0257330741335761	0.00114033799945207	0.00187325577155468	-0.0133402183020364	-0.00129582357220988
"Fuca1"	0.0257309531640925	-0.00325410042010712	0.00578422407277988	0.00333573738203589	-0.00093535935782594
"Pla2g4a"	0.0257299261742208	0.00468421722311962	0.0046638775366199	0.00278752709704225	0.00109645835928267
"Sfxn3"	0.0257267219272779	0.00646462868170789	-8.59716341140544e-05	0.00281871877133558	-0.00215109514785548
"Atp6v0d2"	0.0257207634872596	-0.00167061462163447	0.0066086164815944	0.00314833236343743	0.000203172499311045
"Amd1"	0.0257188069167464	0.00105661428295295	0.00608615079145902	0.00680593748215227	2.11520984019385e-05
"Uck1"	0.0257128025976358	-0.0057138653741759	0.00354517452163405	-0.00225750266579485	0.000868577913260024
"Amd2"	0.0257113320320797	-0.00487824022564466	-0.00404477622664653	0.00557691793350619	0.00160513932136567
"Mgst1"	0.0257111646112251	0.00580266903458052	0.00348548843857974	0.0017130294275148	-0.00159596940945332
"Ch25h"	0.0257097388954644	-0.00612567675242134	0.00294423544106564	-0.000538816166947784	0.00308212531066329
"Cacna1s"	0.0257082684281606	0.00671573573508407	-0.000446822339821895	-0.00108821182076578	-0.00102896398941942
"Kcnab2"	0.0257039744678499	-0.00450611725788197	-0.00200569010047164	-0.0101226791061611	0.000293773259976025
"Atp13a5"	0.0257032557479648	0.00512005115236196	0.00270928810446372	0.00784795948970027	-0.000807763434472993
"Dgkb"	0.0256947577170385	-0.00676582876469513	-0.00114211749000694	0.000566179087895554	-0.00267024550701133
"Slc22a20"	0.0256940239008103	-0.00456078724892157	0.0051585997020115	0.0033293275105326	-0.00126403192951017
"Kctd11"	0.0256935821610776	0.00558077275501363	0.0041413650721584	0.00165820855509249	4.24064843341335e-05
"Nr1h3"	0.0256899254256997	-0.00657535189966898	0.00213129718785469	0.00103518976773253	0.00381065807501987
"Slc25a11"	0.0256878750690546	0.00512840677042061	-0.00484942558291396	-0.00126232046299385	0.00255746295790076
"Fut7"	0.0256874776259152	0.00267094726079361	-0.0067272458274081	0.000327268784786527	0.00163107197978534
"Abcb1a"	0.0256865297175366	0.00472907004503019	-0.000114221177025475	0.0108858734422475	-0.000894127637980391
"Slc4a5"	0.0256860250396314	0.00142572226642548	0.00537270942705211	0.0096344882484871	-0.00123430723643057
"Kcnh1"	0.0256842532217131	0.00655457164394711	0.0014692500026251	-0.00389319112409552	0.000775607836401017
"Slc16a9"	0.0256779885888808	-0.00470228349288953	-0.00286749484644276	0.00947628683243606	-0.00139234958897469
"Acy1"	0.0256734176973871	0.00470234088484153	0.0028959574968584	-0.00956227193931461	0.000376971520915184
"Insig2"	0.0256716705817754	0.00217508988489274	-0.00573862578404181	-0.00840571409938711	-0.00181884264260306
"A4gnt"	0.0256709046722386	-0.0014585976385141	0.00521393842947963	-0.0103477163567592	0.392562040520336
"Pde11a"	0.0256702073485278	-0.000247165976390691	0.00742380757023881	0.000784243843276881	-0.00192767801371228
"Slc39a5"	0.0256682658863902	-0.00689074404318555	-0.000483425492603301	-0.00321516903093581	-0.00083742349114563
"Ldhal6b"	0.0256613733696714	0.00167674829510133	0.00710065315163513	0.0034505815239345	0.00125246796701527
"Glt8d1"	0.0256595620598813	-0.00595279129270913	-0.00399962810921815	0.00222385888936096	-0.00297190302688598
"Slc7a8"	0.0256590724243467	-0.00573757313607508	-0.00227057419708233	0.00787738224608553	-3.98978966580893e-06
"Cryl1"	0.0256581352277279	0.00558977992031839	0.000368318621948437	0.00955081757528631	0.00132628510597281
"Acads"	0.025651522704355	0.00644903563721559	0.000647692075639604	0.00673819985441358	-0.00345132059832528
"Qprt"	0.0256479744359133	-0.00186753973374534	0.00734237385373861	0.00101148966297632	-0.00157279804432479
"Car5b"	0.0256419815214166	0.00334864709808386	-0.00617210101565119	0.00584317312939118	0.0014344161413
"Rplp2"	0.0256402929750814	-0.00540922163362539	0.00243963323513207	-0.00923306210992778	0.00179822695007271
"Sts"	0.025639925917989	-0.00609057125865191	-0.00259011105132752	-0.00677725584742916	7.1698000186663e-05
"Dpysl3"	0.0256387444307356	0.00160818301317192	0.00504336494697158	0.0113389683080987	-0.000874316877193621
"Gstp-ps"	0.0256347325580982	0.00628332619319062	-0.00284537010750052	-0.00563195761595125	0.000986782061917865
