"PC1"	"PC2"	"PC3"	"PC4"
"Aldh5a1"	0.0272297934086072	0.00282432165271968	0.00280654434410877	0.0014012079255544
"St8sia2"	0.0272227010988899	-0.00327332801106683	0.000554012657772057	0.000302115733735618
"Mocs2"	0.0272225653872661	0.00324786838923926	-0.000936167976095597	0.000875822550214667
"Smpd1"	0.0272148861926092	-0.00280451423204518	0.00333930187560034	-0.00295975233571022
"Adh6-ps1"	0.0272031010642466	-0.00335991073116427	0.00150094540376869	-0.00110248445293071
"Atp6v0b"	0.0272002283841306	-0.00288871958096253	0.00352738331554809	5.80946726847968e-05
"Galk1"	0.0271954491341431	0.00157007255350545	-0.00570995203136866	0.00102508101896767
"Mgat3"	0.0271875222789137	0.00358816546013934	-0.000322052777163489	0.000815953476293057
"Chst14"	0.027180097978254	-0.00109565302970744	0.00630334157347916	-0.00172438971045353
"Suclg2"	0.0271686272774989	0.00341405228209911	-0.00278800879591378	-0.000868407344923983
"Slc9a3"	0.0271607300449686	0.00284901012758942	0.0045700186781971	2.40024996184411e-05
"Mbtps2"	0.0271587155956881	-0.00342016788133331	0.00309300929371458	0.000199954778837045
"Suclg1"	0.0271460930467254	0.00358137450425016	-0.0028866357437042	0.00107738350698914
"St8sia1"	0.0271361975567999	-0.00282495929102291	0.00510946791459137	-0.000249263494951414
"Gabrg3"	0.0271263759231866	-0.00406776315182313	-3.41336352933603e-05	-1.73913806305749e-05
"B3gnt6"	0.0271165616201704	0.00285727186530923	0.0054152775304162	-0.0019077083549634
"Loxl2"	0.0271126348035787	-0.00259372958106812	0.00589804520316797	0.00222288127790108
"Grxcr1"	0.0271060138629242	0.00362785119923709	0.00387709751481911	0.000259310713961872
"Abat"	0.0270856418966537	-0.00263630450581048	0.00626923966590195	0.00157410212526321
"Kdm6a"	0.0270663438208998	0.00124242499486771	0.00779305028981907	0.000762038980535454
"Mgat4c"	0.0270654502072899	-0.00353422052073347	-0.00501024772775886	0.000493639868573322
"Gpld1"	0.0270521984310082	-0.00374088195440287	-0.00477036728068031	0.00155749264166548
"Stard5"	0.0270444959640659	-0.00421886627164803	-0.00343614858316728	0.00280644324560996
"Gabrp"	0.0270425961937099	0.00441703284797916	0.00256486329141633	-0.000727222765378833
"Mapk3"	0.0270385396948101	-0.00118396153923642	-0.00816018037058997	-8.90163976286358e-05
"Mgam"	0.027038089748135	0.00383310112908307	-0.00481745737590909	0.00134187402061234
"Pigq"	0.0270370184122748	-0.000154604919770866	-0.00844924575228526	-0.00229105198198928
"Ido1"	0.0270264973597255	0.00399831322917594	0.00460686437474129	0.00114159475728166
"Impdh1"	0.0270152286408211	-0.00458779628746438	-0.0026178559573036	-0.00159939493410453
"Tbxas1"	0.0270140715508013	0.00295916646722673	-0.00687573100549149	-0.000487562648256709
"Mfsd10"	0.0270119170036993	0.00481005657090871	0.000814409924094613	0.00134447044955494
"Nqo2"	0.0269738114599604	0.00473105015616628	-0.0032408927749551	-0.000137580590222557
"Dct"	0.0269666966943986	0.00214012661661682	0.00837274689703014	-0.00123273855248322
"Tdo2"	0.0269665452375725	0.00197633792246871	0.00850513046711353	0.000859808023991221
"Echs1"	0.0269538234390615	-0.0014780771872311	0.00896803043172384	-0.000143448327220968
"Mapk1"	0.026950616597211	-0.00457637601055547	0.00443797230919674	-0.000501045952870665
"Galnt11"	0.0269127284571316	-0.00534453012360875	0.00144496402383038	-0.000686462044603766
"Edn2"	0.0269098082056776	0.00533595149229254	-0.00171785974634662	0.000670299297792226
"Adcy9"	0.0268996283857954	-0.00539757820423823	0.00165874208707118	1.38262260704288e-05
"Abcb6"	0.0268845035529181	-0.00555415457404235	-0.0002439222060049	-0.000948983237164112
"Sult1c1"	0.0268811144896953	0.00231478487369115	0.00916946427667201	0.00028145941118393
"Scn3a"	0.0268707716472315	0.00560880529093863	-0.000842945660915663	0.000537235349710832
"Hcn2"	0.0268666728439516	-0.0017686988316365	0.00970333598529702	-0.000252321350480027
"Grin2a"	0.0268590694179493	0.00558324883482132	0.00197486270000221	0.00221556092410681
"Apob"	0.0268515232080345	0.00479125157194812	-0.00567674265920877	-0.00098810634236821
"Dirc2"	0.0268372587113073	0.000516897399482905	-0.0104486828090402	-0.000788828527201036
"Glrx2"	0.0268359145128488	0.00494745454596897	-0.00550040247269165	-0.00170295673619256
"Slc5a9"	0.0268283979364497	0.00428427720675982	0.00719189755040035	0.000700148163820567
"Hsd17b14"	0.0268243848348472	-0.000733866259560136	-0.0105244494113835	0.00227961541956687
"Ugt1a6b"	0.0268232307147595	-0.00570870422638035	0.00248275389548577	-0.000377899602619362
"Pkd2"	0.0268063980400618	0.00405121547577325	-0.00789348028052583	0.000197266441463545
"Slc5a8"	0.0268016964181543	-0.00561484214408082	-0.00371213266153248	-0.000191188636241843
"Kcns2"	0.026793357414152	-0.00538854830999139	0.00485032861921511	0.000742140659706559
