"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"
"V263"	0.0492364648869343	0.00465841962659833	0.0140805989282672	0.0044097218576232	0.0017634512446372	-0.00589989134456756	0.0113430986977991	-0.0112276920656478	-0.00525927473577466	0.01616274437398	-0.0130089493725017	0.00331384181102272	0.014737524369177	0.0136801001432691	0.0100100662504887	0.00378476308129796	0.00405380529636946	0.0164844967690155	0.0166534683371076	0.000277660592208914	0.0118117637862587	0.00558777323376663	0.0380768159450154	0.00424831161378056	0.0039690188695819	-0.0256932636912869	-0.017429790370692	0.0277873233454551	0.0165826667914283	-0.0253449489474266	0.0230655744206534	-0.008959408895232	-0.00311521481691349
"V1922"	0.048997522112255	0.0312583296557108	-0.00396236454577881	-0.00190888021051319	-0.00123697764993371	0.00734366394232925	-0.00705911202481318	0.00492321720756203	0.0111821562313787	-0.00270017343728496	-0.0150601578520914	-0.0165419356391939	-0.00479173514049067	0.00594330291592736	0.00659719577385816	0.00695494567856586	0.0007045889472428	0.00365328489108401	0.00854317633781656	0.00575435613884909	-0.00704092447290456	0.01308580458788	0.0192072106105963	0.0249784843805346	-0.0252500914022216	0.00688668212662851	0.0137527627212713	0.00433893572895832	-0.0536833173192526	0.0103339719022634	0.0220823256177981	0.015989334485308	-0.010475054122172
"V2197"	0.0489114337062061	0.0161519017164706	0.00904440349613875	-0.0149390067564109	0.00336836616136646	0.0169621905819063	0.0010583974221446	0.0269900278715676	0.000794979397575548	0.00557116896704216	0.0152671136118893	0.0109324269947113	-0.0126439775629369	-0.0141041290633374	-0.00509714853374981	0.0223746905623917	-0.00145726948879945	-0.0045063036682155	0.00299052088055552	-0.00340659452179913	-0.0186826482067644	-0.0158498262934363	-0.00969278147492848	-0.00208094609621153	-0.00625295764489576	-0.00283746424656693	-0.00856945460245426	-0.00482443558481474	0.00652536505180422	0.0459459826123372	0.0553019905489804	-0.0232134329814137	-0.020408172662677
"V391"	0.0487790742631752	0.0357109626113349	0.00596840828244311	-0.00290978127186399	0.00496200647215359	0.0106633341949164	0.014012605807822	0.00675825219255134	-0.00956189093494578	0.0126471629457564	-0.00216172203174202	0.00914830922606095	0.00320212045578402	-0.00671591906775241	-0.0116266247134953	0.00997078058503872	-0.0154754354891165	-0.0165046457247796	0.0106351676783146	0.0033490009605501	-0.0151862125647217	0.00219824522956511	-0.0117607055342345	0.0144720408255616	0.0018534196443353	-0.00512663361917633	0.00563568730669886	0.00504772139725834	-0.0176965167437146	-0.000973921368575495	0.0013204914468526	0.0253528891767684	0.0195556673351762
"V1887"	0.0481987161066271	0.0247608506975048	0.00472763241597101	-0.00183016982762827	0.00705604265561677	0.00941631553669497	0.00686901123708802	0.0212758312946985	-0.00395502437644498	0.00428824128859948	-0.00631709711083281	0.00272445199970233	0.0179123011317189	-0.0114818003093206	-0.0082248443964363	-0.0103859000849495	0.00119799470665888	0.00278341707156476	0.0201289418042735	0.0166783291971256	-0.0158236785043091	0.0105671508447741	-0.026205146395417	-0.00192063527185136	-0.0192036126277014	0.0138474664627791	0.00774570866007914	0.00087386359089151	-0.01703640759826	0.017010256479182	0.0517182746647274	0.0275259787310382	-0.0116473470846263
"V239"	0.0474085521806507	0.0227113378812876	0.0107310941486966	-0.00408478424204823	0.0088956415139232	0.0326385038612529	-0.0159128119591212	0.000413764101078406	-0.00829408124248177	0.00584210243396299	0.00368923828337992	0.0103503085380296	0.010000889103642	-0.00380159866972857	-0.0128753231191832	-0.00830627430762437	0.000644215738141481	-0.00224439648345704	0.0128064848799965	0.00689581457905435	-0.0140111831345807	-0.00927301513510747	-0.0131104210216975	-0.0138751344106548	-2.05121930802954e-05	0.0168737116310215	0.0138719419542584	-0.00516857964004917	0.0586829346929863	-0.034886880362612	0.038193299720187	0.0188623809598609	0.0278578759853685
"V2123"	0.04721444106456	0.0247530859263389	-0.00271111521269568	0.000950170261632025	0.00889320647654127	0.0146125884617621	-0.00441082998532348	-0.0137978539427221	-0.00623590232838362	0.0122623975759704	0.00491727165827747	0.00986900519337607	0.00318176153638873	0.0171392619444185	0.00945847445068358	0.014211849131412	-0.00184089592036879	-0.0112541129654612	0.0195956962788404	0.0315642960090382	0.00813421301302534	0.00777287362740069	-0.00530653652929455	-0.00652099673565839	0.00050727014469969	0.0136339092159183	0.0259696591438837	-0.00794799332840234	-0.0168192846611492	-0.0617034581257034	-0.020784840459552	0.0519892878357564	-0.021765829488605
"V384"	0.0463335718718059	0.0342217877185773	0.00343118709277438	-0.00706370426788175	0.0149153277007935	0.0161902697647108	-0.0152712543628957	-0.00662552661556994	-0.00624247669195453	0.00195854112844353	0.00685892338245014	-0.0194681949841691	-0.0169856782753554	0.000545935864661463	-0.000325665989484985	-0.00522288259684215	0.013247872405746	-0.0209335463250124	0.0155156035577416	-0.00593111259294322	-0.00566039991421618	-0.00233420468314319	-0.0026672459729996	0.00351251485207003	-0.0102220106043864	0.00841452548732951	0.0169333736269105	-0.0136784876098095	-0.0102942354795038	0.0113348382251531	-0.000801716803699815	0.0272083287614343	0.0263962338625071
"V1353"	0.0457847419540985	0.0220840024780205	-0.020164781109731	0.00535911693926628	-0.00162942215201752	-0.00614550488306728	-0.00665299136115066	-0.005392491082421	0.0160212082366399	-0.0258250505431383	-0.0157242424895287	-0.0159003266373502	0.0120896588620405	0.00734730822467254	0.00345957153383118	-0.00343729784097467	0.0128605278462001	-0.00840033685533045	-0.0111867143031673	-0.000341673957975552	-0.000681568623975794	0.0235716979846656	0.0129598227299632	0.0235587210423052	-0.0185093696893278	0.00967913458874062	0.00276122487916721	0.0153660510420563	-0.00794592976763681	0.00347235105451587	0.00780730567144288	0.00429046776425866	-0.00592352526872097
"V469"	0.0452032542482066	0.0347145030817055	-0.0130110822693795	0.00414613187959936	8.3039252158846e-05	-0.0186938042429124	0.00875177218481912	0.0152960491263605	-0.0179828151329901	0.0178581679866219	-0.0051195086177727	-0.0108527532754172	-0.00391869338197994	0.00401259165750528	-0.00216395912016224	-0.00734478936874787	0.004297997605624	-0.0159650982097894	0.0216665147500768	-0.0177665504936622	0.0039092798128969	-0.00150076273779909	-0.0113196966437517	-0.00262768259982574	-0.00278822162128565	-0.00583147248972185	0.00182849897646274	0.00338586595131612	0.0223356163961015	-0.00492963393301483	-0.0173311984575903	0.0185800948802498	0.00450373137999754
