"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"
"B6_R2C1"	3.32657498062383	3.42343871108303	2.28470152692205	0.363784882200717	4.65768522214594	2.00935676422177	-0.925390503418541	3.23483000045979	5.25704233825349	6.34189149091858	15.612134742009	3.89577794621092	-1.26840756938416	-3.97683446718343	-3.89143778154437	28.0550423459925	-20.7777130990684	-6.13681467166219	-26.9615126675147	-9.15454939601586	-20.720965006556	1.51544158739165	-5.40612778281501	2.23454133331341	-4.03550107639412	1.3954333770177	-0.607376196778617	-0.154441959298508	0.0218168309947338	0.0298823781103229	0.0263539907928869	0.0468789483616825	-5.58472539047283e-15
"B6_R2C2"	4.06162064148923	1.82285874999881	2.87408848005203	2.98059780238611	-0.720689572515808	2.62092881280038	0.448725262589753	-4.09884158878216	9.35250685131276	-34.972293290623	-2.07301275224519	-10.5611820370352	-32.9877335227463	-9.75035158180063	-15.4261321297801	16.7904670020885	4.74158408486057	3.69992049449769	9.92684368427316	3.8775619387211	2.75168731703628	1.52827781213967	-3.4811865682655	-1.30907846324634	0.228482148066569	1.7195430996434	-0.38327603694763	0.445491145323637	0.070880054650284	-0.0983174280026788	-0.00132006962197842	0.0224628756630143	1.81689244812405e-15
"B6_R2C3"	-0.362403014866615	8.93442160674997	5.1274072888454	-1.09199681537018	-1.72519044008467	1.0421170234794	-2.6917452905542	9.54580518801748	-0.207681857961172	7.16924088834471	-2.9368574406716	-0.897029342982766	4.1980873352851	-4.51145270628247	-1.52172106967711	-5.3950386197653	5.19429318599805	22.2824103958044	14.8600937563456	17.8889373539279	-33.4239828439469	12.9692975853295	-6.21215715597329	7.68525989097012	4.13208398263238	-1.48894963113426	-0.0419235195166117	-0.34418803031409	0.0680598237498069	-0.0192561650506322	0.0117578133020563	-0.0264887093242379	2.71567707557652e-14
"B6_R2C4"	3.42753239402941	3.29232251585492	4.75858160538006	-0.0242416514840204	4.52221540514996	-4.50196826091054	1.28208274870767	14.3994303096327	4.02691168736015	-9.8751268177394	26.3589417708291	13.5936952565556	13.0950606788516	-5.25682280981048	26.2021359229164	18.0057091607559	20.2886198468693	11.2029471368925	8.73451725079082	-5.96321030606521	9.38085963837153	-3.48440450967085	2.29784913919623	0.645764650573063	1.0960476685103	0.376080183918061	-0.120073624011305	0.067528762226442	-0.0969218417000806	-0.0439225735203924	0.00525168972033024	-0.00654037109086958	1.38309502739631e-14
"B6_R3C1"	1.67546783729479	21.5225985317615	7.24457952241792	6.92583422912844	-13.0273106322543	-8.68280978309619	-1.53649594883247	-2.4685375329604	-2.01490871415319	-12.739539401084	2.27014143477208	-6.00157370217433	-7.58052864258933	-4.46476259765146	13.6897228339932	-22.7411683775628	6.74512410077523	8.45419098485018	-33.83486526441	6.34830765861852	1.69376741404462	-5.68829086642131	-3.3056241253149	1.11445012684378	8.39007254213376	-0.265942669884974	-0.399466362590225	0.174987236577072	-0.037702562248004	0.00714028195245169	0.025008493262476	0.0161965003525243	-2.49532382604056e-14
"B6_R3C2"	-0.432776183565073	28.2417434479407	6.39388125139701	1.62766134573484	-12.2757931124632	-13.6319957038448	5.92159731827862	-15.6801579951112	-9.30656293147192	3.62843246228825	1.74634555072311	0.501502695835615	7.5881727841501	1.59872591613469	-5.5068205539	4.5696939900246	-7.21596037242334	-3.67915090686715	11.3462667188046	-2.86013775022893	5.06168183380465	1.23659207894793	0.885814075502143	0.854647343979678	-0.849354188126035	-0.652704409413431	-22.9979081650311	-0.0434817000305232	0.0958488009239995	0.110769952987638	0.0575553159017276	-0.0382934078323858	2.46290076007238e-14
"B6_R3C3"	-1.86406149985883	31.4380194294349	5.09238988402205	2.44256000403391	-10.9994699077685	-14.185025774866	6.64014763107825	-16.3697993058139	-5.42834587182285	3.1361675679687	1.59581917052218	-1.63241240490649	8.69340885790575	3.62640661480108	-6.30226862713883	6.70920735140004	-5.25340299128996	-4.0902614885212	9.48029740001418	-1.9277460134834	4.0102803034982	1.20426593810021	2.1520802643702	0.756240573246922	0.0664492908718428	1.09556823533143	22.5093266829942	0.150856311482154	-0.0832910313945169	0.0959387675202246	-0.00956659511320323	0.0461893214455089	8.713732860266e-16
"B6_R3C4"	3.47499151671683	4.17820758719826	3.5022963976906	2.03008695331909	-1.59769877872173	3.25953994456568	2.34354400021099	3.61721376790795	-1.51124521846538	3.32261325301288	0.998767804275621	0.151253831598453	-5.86164504728687	-7.38889796057611	4.86456442860882	-12.3350793760089	0.154137108800055	4.09170954392147	1.79663321386148	-0.31247380285987	-1.44511283410179	-3.17108770662408	-0.450685601415558	-9.73394101333527	-40.8617459510794	2.7460483833567	0.77812890139904	0.015551440317481	0.0229440811621943	0.109076526932029	0.00804515369836468	-0.0229576292287537	1.32665146229671e-14
"Nude_R1C1"	10.0625443932702	1.14043230704271	7.21337653526458	0.355127198232136	37.2878338211617	-40.2443950606144	-1.36634843300553	9.12851763602288	15.7521562812494	0.290530815815979	-15.1178389191397	6.58709260435008	-3.73540594084799	-0.386647336489003	4.25174247314725	-6.43631625738488	-7.16690098348109	-8.36767840042428	2.55417221729424	2.65325419972064	-0.0377661836646744	-0.4780856484468	0.474574773517551	-2.57376735828445	1.77778361853355	0.779527926603956	-0.351764147425679	0.233469559599729	-0.00526560120500324	0.0493554021863065	-0.0116599465649895	0.00433480462153205	6.56115786701328e-15
"Nude_R1C2"	8.60699485153964	-4.87675183481644	1.86547609113479	4.92848064322395	8.05956500555489	6.24749184260358	-3.19268130529485	-3.57118281138132	-3.2562556107682	3.55299459560165	0.0231553801739448	5.93881897409249	-4.54668436954056	-3.75043521276514	-7.98471619095629	-3.81092359519752	-6.07609762930149	9.82659067770304	0.43900092447105	-0.991752494672033	4.0889637571872	-17.4968306713152	22.0378753350158	33.4747685476833	-3.09872186892681	-0.824664097025805	0.320038543345978	0.199040602948717	-0.0313612651435262	-0.0716742016539124	-0.0383083410366862	0.0011938681293713	1.05022327639981e-14
"Nude_R1C3"	9.33319773838398	-1.10316897110321	3.46183669209132	-0.345607040069037	4.13444238520966	8.1919402335037	-0.763664252589954	2.55835219218899	-2.79977587510588	5.27158088280654	5.78570080504967	8.23879123674483	-9.05733525771932	-5.37726798554798	-2.71572709448205	-10.5556351384133	-7.79974459616505	8.61602212795775	-3.30346829045101	-14.5974015008737	13.3445731653019	37.3569343518352	13.0782643336856	-2.43327859744107	4.17372376893197	1.39232095131546	0.680534587410572	-0.143989231971905	-0.0270157720114749	0.037933565285517	-0.0294153534468524	-0.0283579092957412	1.26628308533272e-14
"Nude_R1C4"	14.1649883212871	-23.3459808875701	-15.0055029524318	54.9611460856242	-8.67322627673921	-6.52124881703979	-0.274984077283678	-9.45913083906147	-0.942033913918092	-1.6809426753268	0.894566764885224	2.31325494276657	7.9895980942057	-4.6207456656998	1.91012858933055	-2.11023267095507	-2.50030808194245	-1.9363848949105	4.07023036147867	-1.5165044599221	-3.27942251053725	1.79992558622909	-5.35463014336024	-2.32098724852105	1.86486935160211	0.0592551582099018	0.291974696838195	0.465677905069215	0.0535155748987216	0.0809587710899736	-0.00777540921879917	-0.0195391891015762	2.60902410786912e-15
"Nude_R2C1"	20.383524911519	-27.2898017665051	10.8479439751801	-18.5578896033673	-38.6442146194936	-23.9253426415515	-13.5233868921342	17.5466461916755	1.47035915591959	0.983276135770484	-0.400409251021467	-5.59268498652019	4.43555908744083	0.440217699295541	-7.31556967045862	1.65755832855889	-3.74400420558527	-2.58531306232977	0.0759403237202746	1.16769682610517	3.74935972590517	-0.127430116220841	2.6714686224439	1.30488317703394	-0.801473224598199	0.0700197377303217	0.789008933738086	0.624872285876678	-0.0205034155524113	-0.0722824537536393	-0.0389382398605337	0.000268237129922064	1.21560747579075e-14
"Nude_R2C2"	13.0505381770699	-10.7449969265996	4.48392159435427	-12.1386251965235	-9.5971652723812	11.5413827592956	44.4913667250776	-8.99101206749425	25.6667312493655	0.977889802795626	-5.69334958704815	-1.66347300313869	2.31842649237572	-4.62716498330657	12.4121048582338	-6.90015162742358	-3.58710606497139	-7.20358727516724	3.19560191679383	-3.78631216499083	-3.42856621825053	-0.324161471581754	-3.46241302132951	5.51110499304497	3.38201675334588	-0.242531707656611	-0.141371414783623	-0.010151777902473	0.0649296416734309	-0.00684198054077249	-0.0044429851247865	0.00896712332562665	-1.5041033739685e-13
