"PC1"	"PC2"	"PC3"	"PC4"	"PC5"
"Ndufb6.2"	0.0100473390102892	0.000304299376311905	0.000425779096783143	0.00095911004401186	5.88138733098357e-05
"Dpyd.5"	0.0100467810551617	-0.000218449908865737	0.000148094019684191	0.00151348544200895	-3.22709367481745e-05
"Hacl1.3"	0.0100461340169381	6.76500374293797e-05	0.000293875301982696	0.00155094638776608	9.69108659506981e-05
"Chst8.5"	0.0100454175319549	-4.00816804056484e-05	0.000344447695870108	-0.00156949999793934	-0.000194948886241559
"Slc43a2.5"	0.0100450690367321	-0.000229693235450939	0.000251955259836603	0.00159762410036875	0.000254331631849633
"Gusb.3"	0.0100448561409513	-0.00010769447801637	-6.75848277237128e-05	0.00179469947795961	0.00040567544341991
"Trpv6.1"	0.0100448204589992	-0.000159974754651077	-0.000334635286146175	0.00159070890009959	0.000170337156024322
"Pnpla6.3"	0.0100447763155468	0.00036153919109206	-0.000160694908251065	0.00153311146315364	0.000208605501820741
"Agxt.1"	0.0100443557776637	0.000494565758334346	-0.000532346694469996	-0.000525360591687374	0.000121512503835599
"Atp6v0e2.3"	0.0100442078959253	-0.000287253495612658	-5.8324767856031e-06	0.0017281746260802	0.000346000820704907
"Control-target.538"	0.0100432927565146	3.93360992232129e-05	0.000352087465129403	0.00175842583427859	0.000249831969800944
"Entpd4"	0.0100428291666602	-0.000696676131724464	-0.000267956018315779	0.000621917721251836	0.000201562795689541
"Pde9a.5"	0.0100427465007487	-0.000420606795191704	-0.000701326825437118	0.000172208369594118	-8.3827830342393e-05
"Control-target.516"	0.0100413943281816	-0.000662543398667566	0.000495297339151214	-0.000382833920341433	8.54263148521504e-05
"Acadsb.4"	0.0100413355957342	-0.000723735955627225	-0.000420457389461087	5.3587947969659e-05	-7.3287780466524e-05
"Amd1.5"	0.0100409588965848	-0.000532058902077725	0.000579955377743616	0.000881709282966615	-0.000236953621681858
"P4ha3.3"	0.0100409323842817	0.000182436076283121	-0.000111608809611352	0.00206183150741023	8.92134269737811e-05
"Chsy1.3"	0.0100408425810912	0.000242355152223593	0.00015990988471332	0.00200970890855751	0.000184839732622344
"Ampd3.2"	0.0100407426068982	0.000574046735207018	0.000363807555697555	0.00130469314810838	0.000339748646387153
"Gamt.4"	0.010040499214366	-0.000728675925520238	8.90160664343258e-05	0.00108415674191144	0.000291718647669499
"Rpl4"	0.010040480360835	0.000713130908762692	0.000322286859160915	-0.000884016736853458	0.00258927360195207
"Slc2a8.3"	0.0100400742221451	0.000205393672960907	-0.00089263026300478	-5.67001165656735e-06	0.00020195553794849
"Slc25a30.5"	0.0100398563046446	-0.00017483485422797	0.000892483769332549	0.000380236054953381	-0.000124963657344181
"Aoc1.2"	0.0100398506742485	-0.000427562752763724	-0.000418321803455469	0.00164014750291617	4.7385067650057e-05
"Control-target.319"	0.0100398467538426	-0.00058543635475415	-0.000672899135879338	-0.000268637039676124	-8.88355792189787e-05
"Nudt4.2"	0.0100396983633862	-0.000280153195536995	-0.000489439164479086	0.00174600051039962	0.000214735637294048
"Glo1.2"	0.0100396843591323	-0.0008132678740027	-6.9012885118896e-05	0.000773171907795548	0.000162183371663366
"Control-target.797"	0.0100396435520559	-0.000688603799976145	-0.000568716889027336	-0.000126373110680679	0.000313234666695716
"Ech1.2"	0.0100395641231889	0.000660050485999115	0.000268269909602138	0.00131172226703322	0.000322452904248201
"Control-target.864"	0.0100393139012716	-0.000227643926038066	0.000436847006338143	0.00190208999840779	0.000141840913811552
"Atp1a2.4"	0.0100389582098818	-0.00047604214116559	0.000110048997527884	0.00189941965055717	0.000148353949845033
"Slc17a2.4"	0.010038913387922	-0.000208587316593052	-0.000835845773243865	-0.000953460804353734	-0.000301225285447993
"Chrnb2.1"	0.0100386525553431	-0.000274014411118103	0.000832829888792407	0.00090178342835634	0.000124228102172544
"Amd2.2"	0.010038595966348	-0.000596825590725102	-0.000715050496786516	-0.000198772385172472	-9.92699565450894e-05
"Pigu.4"	0.0100385696379605	0.000783668243478898	-0.000473928258999105	2.41276694271915e-05	0.00011987163925993
"Gdf1.4"	0.0100385567818034	-0.000651253098320467	-0.000543943404402004	-0.000913636077876614	0.000107219774716175
