"GeneID"	"P7_1"	"P7_2"	"P7_3"	"P3_1"	"P3_2"	"P3_3"	"B6_R1C1"	"B6_R1C2"	"B6_R1C3"	"B6_R1C4"	"B6_R2C1"	"B6_R2C2"	"B6_R2C3"	"B6_R2C4"	"B6_R3C1"	"B6_R3C2"	"B6_R3C3"	"B6_R3C4"	"Nude_R1C1"	"Nude_R1C2"	"Nude_R1C3"	"Nude_R1C4"	"Nude_R2C1"	"Nude_R2C2"	"Nude_R2C3"	"Nude_R2C4"	"Nude_R3C1"	"Nude_R3C2"	"Nude_R3C3"	"Nude_R3C4"	"3D_1"	"3D_2"	"3D_3"
"Aasdh"	-0.0895196270810898	-0.0553245582978542	-0.113711882799542	-0.119302018991114	-0.0951943427448667	-0.156438330389314	-0.194727630558027	-0.489397259131152	0.717257982480865	-0.0589306304789776	-0.277704287012718	0.0473798681321738	0.0447207155115448	-0.278829110345082	0.0109899527429839	-0.18723085864253	-0.380241634330481	-0.247758804247426	-0.125859438418457	-0.053553157911924	-0.153573824316954	-0.327118221994457	-0.280924390531366	-0.331286913542662	-0.106649687405652	-0.34230862093546	0.00397577426239707	-0.178636252242115	-0.426604946082191	0.185463880698555	-0.082565412048244	-0.252832592360348	-0.198190567853563
"Aasdhppt"	-0.872927660172824	-0.870873776502939	-0.971492354762973	-0.649355417149313	-0.594278704119784	-0.521980182600049	-0.89876139062751	-0.641054375124148	-0.917586625723248	-0.89642205256851	-0.827976483952245	-1.02932152170294	-0.714565690651372	-0.863042553131273	-1.0383014542837	-0.985856314789249	-0.716891577865888	-0.744322109213798	-1.06379139503027	-0.883446692554763	-0.935754616820203	-0.978481147892879	-0.613601844032965	-0.983001105244056	-0.794269320889964	-0.516123503287689	-0.999350722963775	-0.855088521577358	-0.909861791864704	-1.01148779686004	-0.302206067392205	-0.218114836996488	-0.172092732696905
"Aass"	-0.00109127242608563	-0.11780041802274	-0.055635615480229	-0.03276525127664	-0.0818324868407507	-0.136846789027067	-0.402843167154685	-0.129329418459757	-0.109561109690561	-0.440528262713153	-0.105715528294555	0.644851433482435	-0.0523979207019709	0.279892481497566	0.0703717302815024	-0.195181810052172	0.157906147285532	-0.00690982911624556	-0.0177195222751495	-0.198519854186025	-0.458512375396743	0.0528517282735002	0.0174938358916464	-0.28519222106041	-0.127074311252713	-0.0574828088219962	-0.177132806757207	-0.293660267971259	-0.269141300162317	0.0870678205165627	-0.222155693165654	-0.164522792292625	0.0190481446369802
"Abat"	0.0436837947446648	0.0427028611117778	0.0152710111543349	0.087635919407984	0.0502595558938075	0.0676483358700107	0.0506451762047738	0.201664327295014	0.152437991893651	0.219792606065754	0.198682049701833	0.169898269494489	0.224672733689108	0.20447396058767	0.0907982033561598	-0.00616869204105152	0.0931207124890164	0.11941268581142	0.277874512251349	0.250808663207931	0.0589765009766817	0.156367911171168	0.129219691409688	0.258684175264049	0.214601895193479	0.104891453032132	0.0400426437417828	0.424655916254918	-0.302597894477954	0.51953233332498	0.08828908160644	0.233470117789205	0.122121826034164
"Abca1"	-0.182627731048229	-0.0904377415396214	-0.0664915322186198	-0.0827264142840023	-0.132287931855651	-0.0734869374693773	0.164921197411075	0.525376828341001	-0.289418548618635	-0.273595185666902	-0.0784395324793602	-0.145259665948248	-0.271993172024735	-0.185728992984432	0.36788879781113	0.0996655568720719	0.255115002728879	-0.0507541806048382	-0.236741744769252	-0.132510434797122	-0.301834045377781	-0.425049992308006	0.248132803078595	0.143345412930764	-0.287414506054584	0.140285614409691	0.0144232803080971	-0.174650189037547	0.121915601180811	0.0417227120524739	-0.250353916929467	-0.338076549471577	-0.213657814946322
"Abca12"	-0.051632745268865	-0.064158331114394	-0.0754082363376472	-0.0582345887558272	-0.0376296699569984	-0.0860136033689965	-0.375569737905873	-0.0672277933488722	-0.536056729898973	0.098633708264999	-0.264463411031063	-0.41637390715212	0.191016995326385	0.121152902507421	-0.0630132182976081	-0.0982321991091411	0.0982065271606484	-0.286253378760628	-0.548740183450701	-0.260250032156217	-0.0619366416955025	-0.0958849353213027	-0.323519910275184	0.128858912074387	0.157037934651565	0.0797430884748082	0.0595286925306739	-0.494840937492683	-0.365517126751359	0.285941862193889	-0.373240800882911	-0.186636761626793	0.014096007451
"Abca13"	-0.219566678392428	-0.111431071426508	-0.105014626574995	-0.189308071511965	-0.172922648265346	-0.15125793863356	-0.518956825389487	-0.3343567144531	-0.460340197759154	-0.420106541932044	-0.215435006827131	-0.195617468053869	-0.477907110859365	-0.100430793293399	-0.388088275763056	0.037858078188325	-0.59265904228007	-0.164150501586526	0.00951051332133887	-0.161693798502315	-0.182343684235307	0.176001055764535	-0.315987169993174	-0.185392657454861	-0.429148242933209	-0.10714617169343	-0.0425851858118617	-0.115173509264978	-0.232573465345294	-0.324851513478229	-0.592463425854776	-0.550128957650397	-0.329419162066918
"Abca2"	-0.0539473074481196	-0.0715877262005455	-0.0238071740744878	-0.015665944399462	-0.0702171477083327	-0.014339958895818	-0.332669250636827	-0.130863376302157	-0.239287130000302	0.0869905898464146	0.0656764324937629	-0.108123028759124	0.0618293434128498	0.0391850964492056	-0.280665984703653	-0.0101710483547869	0.0561849551838213	0.0232066387091675	0.0628715903652827	0.0325199841338577	0.0383496479259125	0.251109390940582	-0.214017952308702	0.0376386664348858	0.117262149384012	-0.0407602433342467	-0.09213109231773	-0.0563711639792495	-0.243456703623313	-0.0881391403186527	-0.0439548665039756	-0.104807965503803	0.225105962388286
"Abca3"	0.0298880370854334	-0.0361468590429412	0.0034494136705822	-0.0339159349476824	-0.013878433550828	0.0316557621958104	-0.230815081705502	-0.034390004062174	-0.150344977520955	0.00975987985161182	-0.36491149714469	-0.0989813446747479	-0.18955685950468	-0.0586953754255123	-0.0559715984537098	-0.117949358111132	0.00567899437170064	0.0533924812874408	0.171356318297528	0.209237517068525	0.279670878380841	0.0431277120584627	0.0495566432580843	0.0358352390883893	-0.356916769501641	-0.0404304198903671	0.172912586691466	-0.101748342465654	0.2420700055075	0.132273635001898	0.00399976185464215	0.039103059114966	-0.0684746670230595
"Abca4"	0.0277265081627797	-0.00102841965534788	-0.0296869683731549	0.0489238114998788	-0.00808666525686041	-0.0688720053827243	-0.079983349453876	-0.08005952124844	0.495988254139081	0.188893413749049	-0.111342812981191	-0.0690789118023637	-0.17504153761904	0.159207922687504	0.0670657568242285	-0.050119628031286	-0.0437567852682399	-0.117355382553661	-0.185651894189949	-0.0542080242245155	-0.100737845203368	-0.160163124998655	-0.410374790176676	-0.0883649683291931	-0.194952032658827	-0.0507265485745946	0.129548000871812	0.0759918264448425	-0.345671529343616	0.0971345212625497	0.18269325771604	-0.10545553784991	0.114282630899642
