"GeneID"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"Bst1"	0.0615866508705925	0.0997002625779803	0.359071215932802	0.24013627165616	0.225757677390565
"Ugp2"	-0.0358663566574801	-0.0678683385673854	-0.381819649021553	-0.420047238525798	0.162727054666524
"Slc25a21"	0.026643215797136	0.0351929715011698	0.200575875198974	0.309080758256163	-0.0270869674265036
"Nmnat1"	0.00879305743325887	0.0444914970937984	0.0682763244268364	-0.0386123006153453	0.249461982373132
"Ugt2b36"	-0.0236426029500706	-0.0231730914153596	0.158540913098787	0.0579361111998017	-0.154670565831847
"Apob"	0.0641681309305774	0.0821841883146361	0.348217841832327	0.274328649960574	0.378250958920997
"Abcb5"	0.0399189841427684	-0.0116352115263732	-0.112212931105238	-0.0187997904276036	0.34614431925728
"Gxylt2"	-0.0653253896838313	-0.0548299452699095	0.186077188298252	-0.129080970953977	0.23710691624608
"Slc16a14"	-0.0364550837446828	0.0223824018189022	0.0880719200723134	0.0696590583675751	1.06809733961786
"Plcb3"	-0.0751398473185498	-0.0609609689304807	-0.0373956569067501	-0.163815546084847	-0.0757646296121624
"Cidea"	0.103843770627703	0.0155158496313937	-0.213279490866611	0.0281574443871734	0.513282840906374
"Enpp3"	0.0388063868957251	0.0746459650447137	0.0933560524239064	0.20909255974758	0.243902400641205
"Mtr"	-0.13709686787949	-0.0377740393175089	-0.304554782728892	0.0406355104755603	-0.23851892586427
"Kctd20"	-0.0934212715148071	-0.0671670213168256	0.159537275707237	0.330856898570509	0.259003627767317
"Grik3"	0.01568662919935	0.0792041597754777	0.0256679231667143	0.10916565204709	0.2780775604421
"Cyp2r1"	0.0408234203825551	0.0640379730990485	0.0372480843450775	-0.100278764573721	0.263806248160647
"Pfkfb2"	0.0215771512524676	0.0211434607345009	0.295233365927775	-0.0375002733264047	0.0957891545033826
"Cacnb2"	-0.343353166766467	-0.338120274590242	-0.364560576972102	-0.197084895209487	-1.02942995088252
"Pank1"	-0.252110736702259	-0.356043810067351	-0.468829630108036	-0.329780722213527	-0.711445237986722
"Apoa4"	-0.0908814285939857	-0.16431915777606	-0.209061635230498	-0.189516996536226	-0.321821688094001
"Pigg"	0.0191206559164181	0.0176203351978888	0.312923579820595	-0.0551538450564225	0.413761793542018
"Car3"	-0.0333104228401742	-0.120126729039929	-0.134460244784182	-0.128828159665095	-0.487468395513618
"Dolk"	-1.03192908604793	-0.781019155132513	-0.996928345723894	-0.982374658652397	-1.12120653141008
"Atp7a"	-0.0195536494423982	0.0192160968974296	0.0447645862606804	-0.136984272788511	0.478672194956693
"Cp"	-0.380027902433357	-0.333430028590408	-0.409974811279313	-0.128796049624324	-0.957907584860182
"Mgat4c"	-0.0176964323965369	-0.0476918222458392	0.0510748146326664	0.156743518996955	-0.147030606490779
"Hnmt"	-0.0892082781777019	-0.0754641205664985	-0.190307182081115	0.0846401142972158	-0.40120394169449
"Ndufa5"	-0.169599618339972	-0.168684910905126	-0.414537269760763	-0.415954206296565	0.120161408913605
"Otc"	-0.0383658206560687	-0.131481282207546	0.0671051207133629	-0.191712056673634	-0.743542062723647
"Impdh2-ps"	0.00785226494776376	0.0459299871149616	-0.181752113799441	-0.0688871907445047	0.017357634097569
"Cyp4x1"	-0.295192816129542	-0.326187064634857	-0.379325160819839	-0.646269235844664	-1.20740524128467
"Scn3a"	-0.139252037966055	-0.192951291611913	0.0023581395709327	0.0634215980636645	0.757873408784568
"Abhd8"	-0.0889039852782802	-0.0869840530183709	0.0495318139371555	0.109427295288638	0.585117938189202
"Ndst2"	-0.0711439207178703	-0.0697105968519627	-0.205165527993649	-0.154813091435332	-0.125272013207222
"Dagla"	0.059601222419007	0.00816134134432501	0.131597752339515	0.106422962583587	-0.0756213334295839
"Cox7a2l"	-0.00550181731134177	0.0141107247099185	-0.0519078436112411	0.0650058823224056	0.282308580744225
"Agpat2"	-0.221410248961472	-0.187370955112473	-0.198775339934457	0.110101193590031	0.0991572011104504
"Adsl"	-0.266768062571204	-0.0260183112847538	-0.201134796683095	-0.259548112273946	-0.125045382493132
"Control-target"	-0.21398827337958	-0.294685558192157	-0.181610419521864	-0.569421995044548	-0.850520112461706
"Control-target"	0.0516238225710553	0.0202496231062586	-0.172938089138397	0.102906516856306	0.130611221910261
"Control-target"	0.0686039627297493	0.11801458805075	0.0880274026658766	0.012124431467771	0.0521723455004142
"Gnpda2"	-0.00989611299211418	-0.0386802365941848	0.045767970458225	-0.0751102035618555	-0.210453033966898
"Msmo1"	-0.0547216573397713	-0.0279084242996733	-0.0853443411773051	-0.314774253856355	-0.433073347769188
"Hyal2"	0.00684583709429286	0.0472634826656144	0.1780827952937	0.137594749184675	0.461472343921731
"Isca1"	-0.589587450236871	-0.258953038614726	-0.806226232886693	-0.820374593103801	-0.0478026102620224
"Ndufa8"	-0.305347623551849	-0.1451587993138	-0.297437124395977	-0.314102482801815	-0.467023586080523
"Hacl1"	-0.0294796100635091	-0.0366328797944932	-0.0846400837649489	-0.288633966431322	0.387765469829346
"Slc25a17"	0.024266149815422	0.0310943658253781	-0.0891731387326848	-0.0261265989104993	0.162922284390583
"Sult2a4"	0.0126329255348789	-0.00651808060289876	0.0544404140598712	0.316283446967283	0.0413408552348748
"Cyp2c38"	-0.0310078002783277	-0.0823550376825546	0.128803980646223	-0.134723825155726	-0.12536027104852
"Atp5b"	-0.56642351724182	-0.567309933327438	-0.848214729443755	-0.994651860773777	-0.765720817056514
