"Barcodes"	"P7"	"B6"	"Nude"	"ThreeD"
"BRDN0003500562"	-0.0081571685446517	-0.0129613620277635	-0.0324027678531496	-0.0698791310299105
"BRDN0003505700"	-0.0399293275983749	0.0636249059593446	-0.0684708153515633	0.0947784073568877
"BRDN0003495433"	-0.0174236163350526	0.0337897115601016	-0.150718143790023	0.0279655160576944
"BRDN0003509169"	0.0558330406422671	0.203891583968672	-0.0182938432095089	-0.247151872512675
"BRDN0003499349"	-0.00110986351347406	-0.0706085520301223	-0.0420798405393427	0.112727412470999
"BRDN0003509484"	-0.017472684079077	-0.169890310586973	0.275559586381466	-0.490109438728287
"BRDN0003511232"	0.0610671470487781	0.0888258060984345	0.00564687758739672	-0.54392176987183
"BRDN0003504519"	0.11920783329415	-0.108016296715272	-0.402973772497849	-0.733379636153287
"BRDN0003506554"	-0.0422263728319951	0.0561975722544846	-0.137273760313196	-0.24791151020318
"BRDN0003502321"	-0.0189942146654136	0.0635853156440487	-0.037974109058141	-0.0726077649361093
"BRDN0003497758"	0.0398017757776938	0.240909114986586	0.111294971488712	-0.270422650556204
"BRDN0003496581"	0.00879808379112262	-0.231372701464828	-0.161528066408109	0.171677118864149
"BRDN0003504540"	-0.00681828055146527	-0.0287706420249842	-0.228468739162821	-0.305942304610367
"BRDN0003497055"	0.0111487246170418	0.0128667282390439	0.184957283623852	0.0402528138930793
"BRDN0003509199"	0.0841255219062939	-0.234295167078651	-0.269570534838122	-0.451504158521705
"BRDN0003503387"	-0.0333915744621964	-0.153498222300788	-0.0266644520628667	-0.020683468745865
"BRDN0003497359"	-0.00912194909139939	0.142556157874629	-0.0861629789011898	-0.00953037321047967
"BRDN0003506792"	-0.0161535304901878	0.0496220444429283	-0.119000641150702	0.183976317990872
"BRDN0003506787"	0.0614783541459687	0.166096490556081	0.00740148502433528	-0.0980270923820628
"BRDN0003499074"	0.023972307244256	-0.120628504016299	-0.125657678818277	-0.0115826009034283
"BRDN0003507372"	0.0328837071631501	-0.177689382105664	-0.0233491643677225	-0.422177902743327
"BRDN0003500616"	0.0621553974146303	-0.0268955851628567	0.0637927127580608	-0.0682089583302682
"BRDN0003503879"	0.0155419936082903	-0.112656667183877	0.076479402800877	0.236841581218132
"BRDN0003509770"	0.08030998894574	-0.0921815887989565	0.262034511512281	-0.631160428908939
"BRDN0003505369"	0.0246821173559954	0.177942388891896	-0.121034325431025	-0.144488696090905
"BRDN0003503120"	-0.00551369032066631	-0.11156981926214	-0.0383092759399873	-0.0680325544690007
"BRDN0003510368"	0.0525089554574382	-0.0621236334228873	-0.169308921599928	-1.30512579845503
"BRDN0003500689"	0.0949923649212621	-0.336706270519382	0.0346431229192896	-0.674093040352109
"BRDN0003509718"	0.0406075863021513	0.227050902833601	0.19416978384832	0.373037003185734
"BRDN0003503788"	-0.00418298139248892	-0.0684591774882632	-0.00466469800935597	0.0880051909359767
"BRDN0003505562"	-0.105045821190944	0.111881668139298	0.182313160506978	0.265100127798467
"BRDN0003507491"	0.0163490480363579	0.0803704284120614	-0.163780817463166	-0.177492176665161
"BRDN0003496453"	0.00476217219015475	0.0377007938598869	0.0208703398497499	0.380796748223608
"BRDN0003502814"	-0.179638790175379	-0.310443618613215	-0.17091958467555	-1.1983034270675
"BRDN0003505935"	0.0225685506283969	-0.0399601276260914	-0.0554248628236471	5.60811793513074
"BRDN0003496566"	0.0913207435069012	-0.338405713966897	-0.155130347434112	-1.01502790937948
"BRDN0003501771"	0.0540309755210668	-0.118672856911625	-0.24113050826721	-0.50129573636133
"BRDN0003493585"	0.0738477188091085	-0.416630853657444	0.173373744346808	-0.674725646119444
"BRDN0003510809"	-0.168768303835637	0.0533606587947929	-0.148029250631928	-0.154105167442014
"BRDN0003493516"	-0.0583951149748904	0.098828703183652	0.107468782207269	0.206314606808744
"BRDN0003501263"	0.0774998897739079	-0.0260795474991304	-0.0403072349603588	-0.0559040075041098
"BRDN0003502306"	-0.0349860916318689	-0.102416970678676	-0.0283527264914719	-0.392965112844884
"BRDN0003509927"	0.220192451503092	0.244437877886414	0.0464114269413967	-0.310059640414782
"BRDN0003500069"	0.0809155412589764	-0.032213415575285	0.0802046320791976	-0.820232703149624
"BRDN0003495618"	-0.0980033747515227	-0.0198487542958036	0.0448532874853039	0.135374786903353
"BRDN0003508840"	0.00553633481582158	-0.15074406326678	0.0624629723464039	-0.0179961634316826
"BRDN0003511376"	0.032640067678089	0.122516079174374	-0.0296406546183349	0.0194006108911617
"BRDN0003503298"	0.00479341045167411	-0.0875927462285534	0.0472161536085127	0.034661366299248
"BRDN0003502292"	-0.0487943606407591	0.323333683759621	-0.260517318839003	0.0907884666195571
"BRDN0003510085"	-0.0345587442583271	-0.119239498314232	-0.0241988983593981	-0.221281915593402
"BRDN0003494672"	0.00352471120633119	-0.0674507995546088	0.00313651246821706	0.232018439936723
"BRDN0003495192"	0.0838074713671923	-0.161111533287376	-0.16692581749012	-0.945030734998854
"BRDN0003506698"	-0.0882754324620754	0.0477466352314865	0.0775747503491747	0.0917227124425168
"BRDN0003507393"	0.00676433139343992	-0.0400969484971028	-0.0791366320671923	0.094373317760452
"BRDN0003502700"	0.0341304573088198	-0.136110140666307	-0.337422391500351	-0.394942175611458
"BRDN0003509024"	0.0244545120190698	0.0936633370786081	0.15754867028326	0.130639089105517
"BRDN0003510324"	0.00139092712903852	-0.146151080034827	-0.168357388598639	-0.553902246624665
"BRDN0003507649"	0.0267014149419015	-0.112915641047434	0.274002767591523	-0.0323664148732051
"BRDN0003510998"	-0.0680662473677	0.0044537894020793	-0.0493657617181775	-0.632277955651823
"BRDN0003505013"	-0.0491355247672744	-0.209323976676377	0.096276082570126	0.711245256132442
