"Barcodes"	"P7"	"P3"	"B6"	"Nude"	"ThreeD"
"BRDN0003506634"	0.0504327281470977	0.0371074091994263	-0.166849380336747	-0.0162359644406303	-0.21848145357986
"BRDN0003505310"	-0.114611026703981	-0.172453624573655	-0.116892209396358	-0.477324995696439	-0.365736810532373
"BRDN0003507714"	0.062323210890458	0.0905169980658148	-0.187388785474023	0.0196571997325222	0.229871817515466
"BRDN0003500994"	-0.0910462868877968	-0.150893182894109	-0.540170777229473	-0.14625509452932	-0.460962714061453
"BRDN0003510969"	-0.360670008986299	-0.431754827049443	-0.394632687582474	-0.244591166275018	-1.21093294448296
"BRDN0003509940"	-0.145387002413397	-0.162040618158316	-0.136110882471061	-0.365048763857364	-0.441178879854946
"BRDN0003509389"	-0.0873414797802648	-0.0850498219537311	0.289531206004373	0.0316539099260293	-0.642061181361424
"BRDN0003497530"	-0.092396300077971	-0.058744030178441	-0.140422505635533	-0.331321086223065	-0.151085148303663
"BRDN0003494687"	0.0644791854937111	-0.00532764871354604	-0.171923385452081	-0.2128585968258	-0.0399525367982444
"BRDN0003495681"	-0.436305268094203	-0.39645370131887	-0.474408038047923	-0.344918797250791	-0.752879350074825
"BRDN0003499354"	-0.0943159609106579	-0.0699271732192695	0.0978608111573563	0.092611446714266	-0.177972177743465
"BRDN0003504226"	0.00939006290375265	-0.0148981976965655	-0.230868429320475	-0.148013168709248	0.495082801215032
"BRDN0003505578"	-0.147965848450503	-0.183786835865222	-0.066585287617174	-0.439182021160978	-0.504119584425978
"BRDN0003504925"	-0.131301360514022	-0.0444883462073606	0.0528337597581055	0.169602716727878	0.0397360765438905
"BRDN0003505798"	0.0539934279842123	0.099195807068239	-0.0889116233303378	0.190766907213185	0.200335250151427
"BRDN0003506038"	-0.00169575854514922	-0.0126075680381693	0.0982127680845322	0.171511583838279	0.367373061076025
"BRDN0003500562"	-0.0153261549731527	-0.00591964034072932	-0.0250312231318872	-0.0395248808544617	-0.0857373572223924
"BRDN0003505700"	0.0391655601389931	0.0791002163870686	0.124158333009457	0.0011778938712672	0.136331430869172
"BRDN0003495433"	-0.0219325108170994	-0.0113499952803907	0.0326617510911086	-0.132458642749411	0.0555605336167043
"BRDN0003509169"	0.0379568565283762	0.000846719000687871	0.201522725984402	-0.009849657728002	-0.225872909469698
"BRDN0003499349"	0.0227565931243582	0.020412329419967	-0.0185829396953796	-0.000857283302439621	0.131165826510361
"BRDN0003509484"	-0.468194066939684	-0.443766528020444	-0.621552860412355	-0.162312559784455	-1.01574814106879
"BRDN0003511232"	0.0505791618032786	-0.0255270314467949	0.0803806716914769	-0.0136050615689127	-0.543833856087263
"BRDN0003504519"	-0.331163534958774	-0.447540728303452	-0.550420389269547	-0.855527983252749	-1.17838481629332
"BRDN0003506554"	0.0649316320738223	0.106790801584592	0.160345574511145	-0.0204149575669657	-0.0712764914600328
"BRDN0003502321"	-0.0483569571088343	-0.0228503154652831	0.0373304986557704	-0.0639034226139817	-0.108838202906073
